iter	RMSE
0	299.0009149
1	283.1061596
2	268.7452426
3	255.3485477
4	242.8219562
5	231.4983092
6	220.8886412
7	210.9570242
8	202.0989405
9	194.0149961
10	186.6486421
11	179.7717328
12	173.5815402
13	167.9092222
14	162.5864328
15	157.5163329
16	152.9290051
17	148.8131522
18	145.1888895
19	141.7115131
20	138.6732572
21	136.0863423
22	133.5682286
23	131.2581881
24	129.2533176
25	127.0964389
26	125.4268529
27	123.9433206
28	122.4561052
29	121.1989249
30	120.0525929
31	118.949053
32	117.9114762
33	117.0327791
34	116.0505308
35	115.2005878
36	114.3989248
37	113.6415266
38	112.9420874
39	112.403049
40	111.8356784
41	111.4204821
42	110.8975101
43	110.322574
44	109.851097
45	109.4960435
46	109.0662833
47	108.617556
48	108.3225306
49	107.9745079
50	107.4644475
51	106.8886562
52	106.3994014
53	106.0598283
54	105.7286866
55	105.2990567
56	105.0325936
57	104.7681378
58	104.4998292
59	104.3415298
60	104.1653345
61	103.9540873
62	103.7300683
63	103.5821898
64	103.4519997
65	103.1137842
66	102.8988305
67	102.7258844
68	102.4996748
69	102.2911668
70	102.1517539
71	101.9732404
72	101.7233047
73	101.6040143
74	101.3439252
75	101.211117
76	100.8238104
77	100.5156878
78	100.3924105
79	100.1066811
80	99.97555868
81	99.78723654
82	99.65393014
83	99.31748621
84	99.11296464
85	98.98366781
86	98.89461675
87	98.73992361
88	98.55795419
89	98.32231048
90	98.14120344
91	97.90958186
92	97.82741923
93	97.66557878
94	97.5017098
95	97.32816046
96	97.15801429
97	97.02017572
98	96.93598924
99	96.79474282
100	96.58543749
101	96.53014428
102	96.43083928
103	96.27364166
104	96.09841149
105	95.86996938
106	95.73170979
107	95.55615046
108	95.37709474
109	95.29293582
110	95.13388544
111	94.99488293
112	94.91303821
113	94.84617254
114	94.75548745
115	94.48510566
116	94.42926071
117	94.27838662
118	94.18996655
119	94.03671884
120	93.90914741
121	93.78204465
122	93.6880336
123	93.56343287
124	93.44677363
125	93.32018134
126	93.19729511
127	93.14525375
128	93.07782759
129	92.996051
130	92.84260351
131	92.7941532
132	92.68558248
133	92.4422233
134	92.31298912
135	92.23350702
136	92.0474513
137	91.91395998
138	91.83645876
139	91.74678765
140	91.64482874
141	91.50301009
142	91.37474397
143	91.25628732
144	91.18124051
145	91.11124737
146	90.9792832
147	90.87192733
148	90.81163761
149	90.7017783
150	90.58971212
151	90.47517074
152	90.37275973
153	90.24777376
154	90.17460946
155	90.00088258
156	89.89702017
157	89.78231593
158	89.70530529
159	89.62862178
160	89.5664107
161	89.50063812
162	89.38478533
163	89.32913129
164	89.24848613
165	89.17475897
166	89.08292729
167	89.01834054
168	88.93381684
169	88.79513367
170	88.65764343
171	88.56940158
172	88.4273091
173	88.3157383
174	88.25322592
175	88.00426992
176	87.90824669
177	87.77085348
178	87.68294607
179	87.57132971
180	87.52662724
181	87.44231771
182	87.24095307
183	87.12510578
184	86.94945856
185	86.85616906
186	86.77023899
187	86.69359283
188	86.61761038
189	86.46179725
190	86.41483659
191	86.34195902
192	86.20695818
193	86.15876471
194	86.08359609
195	85.97386903
196	85.86570127
197	85.77583825
198	85.75411621
199	85.67118124
200	85.60417042
201	85.55387645
202	85.47359986
203	85.37563932
204	85.31660971
205	85.22978375
206	85.1736617
207	85.0923063
208	85.01249114
209	84.95060888
210	84.87507838
211	84.81943646
212	84.70766539
213	84.64446968
214	84.50486381
215	84.45607884
216	84.41326458
217	84.34647536
218	84.20796359
219	84.11809803
220	84.02726943
221	83.98426442
222	83.94704471
223	83.87406649
224	83.802856
225	83.73610165
226	83.6920414
227	83.59352359
228	83.51311834
229	83.38819237
230	83.33598229
231	83.28917668
232	83.23687733
233	83.19050873
234	83.15297052
235	83.10440213
236	83.04064686
237	82.97599021
238	82.9031785
239	82.69590347
240	82.6051225
241	82.48989225
242	82.39731141
243	82.32542532
244	82.26971943
245	82.1668118
246	82.08574921
247	81.94224257
248	81.90567446
249	81.82598198
250	81.73761396
251	81.69887584
252	81.64408352
253	81.55172361
254	81.4693842
