iter	Passed	Remaining
0	5	5274
1	9	4536
2	12	4262
3	16	4139
4	20	4044
5	24	4004
6	28	3988
7	32	3990
8	36	3982
9	39	3944
10	44	4016
11	48	3984
12	52	3986
13	56	3995
14	60	3994
15	65	3998
16	69	3993
17	73	4021
18	77	4004
19	81	3998
20	85	3990
21	90	4021
22	94	4007
23	98	4014
24	102	4005
25	110	4130
26	115	4148
27	119	4154
28	124	4180
29	129	4178
30	136	4254
31	140	4258
32	145	4252
33	149	4235
34	153	4232
35	158	4233
36	162	4220
37	166	4213
38	170	4200
39	175	4219
40	179	4203
41	183	4196
42	189	4220
43	202	4390
44	208	4427
45	212	4403
46	216	4396
47	221	4393
48	225	4377
49	229	4363
50	233	4344
51	238	4344
52	242	4325
53	246	4316
54	250	4300
55	255	4302
56	258	4283
57	263	4273
58	266	4254
59	271	4260
60	275	4245
61	279	4232
62	283	4216
63	288	4226
64	296	4270
65	300	4259
66	306	4261
67	310	4251
68	314	4238
69	318	4232
70	322	4225
71	327	4215
72	330	4200
73	335	4194
74	339	4189
75	343	4176
76	347	4167
77	352	4164
78	356	4156
79	360	4142
80	364	4133
81	369	4133
82	373	4127
83	377	4114
84	381	4108
85	386	4109
86	390	4097
87	394	4091
88	398	4081
89	404	4087
90	408	4080
91	413	4077
92	418	4079
93	422	4068
94	426	4061
95	430	4051
96	435	4052
97	439	4044
98	443	4036
99	447	4028
100	453	4033
101	457	4025
102	461	4017
103	466	4017
104	470	4010
105	474	4003
106	478	3993
107	484	3998
108	488	3992
109	492	3981
110	496	3975
111	501	3977
112	505	3970
113	509	3960
114	514	3955
115	518	3953
116	522	3943
117	526	3935
118	531	3933
119	536	3932
120	540	3927
121	544	3920
122	549	3920
123	554	3914
124	558	3907
125	562	3900
126	567	3903
127	571	3895
128	576	3889
129	580	3884
130	585	3882
131	588	3872
132	593	3870
133	598	3869
134	602	3862
135	606	3855
136	610	3846
137	614	3840
138	618	3831
139	622	3825
140	626	3817
141	631	3813
142	636	3815
143	646	3841
144	653	3851
145	662	3874
146	667	3873
147	672	3870
148	676	3861
149	681	3862
150	686	3857
151	690	3850
152	693	3841
153	699	3840
154	703	3833
155	707	3826
156	711	3821
157	715	3813
158	719	3805
159	723	3798
160	727	3792
161	731	3784
162	735	3777
163	739	3770
164	743	3763
165	747	3755
166	751	3747
167	755	3739
168	759	3732
169	763	3725
170	767	3718
171	770	3711
172	774	3704
173	779	3698
174	782	3691
175	786	3684
176	790	3677
177	794	3670
178	801	3677
179	810	3690
180	817	3698
181	823	3702
182	828	3699
183	836	3709
184	847	3733
185	854	3738
186	858	3732
187	862	3724
188	866	3719
189	871	3713
190	875	3706
191	879	3699
192	883	3694
193	887	3688
194	891	3680
195	896	3675
196	900	3668
197	904	3662
198	908	3655
199	912	3649
200	916	3643
201	920	3636
202	924	3630
203	928	3623
204	932	3616
205	936	3609
206	940	3603
207	945	3599
208	949	3594
209	954	3589
210	959	3588
211	963	3582
212	968	3577
213	972	3571
214	984	3595
215	998	3624
216	1010	3645
217	1014	3640
218	1019	3633
219	1023	3630
220	1037	3657
221	1043	3655
222	1047	3648
223	1051	3640
224	1055	3636
225	1060	3631
226	1064	3624
227	1068	3617
228	1072	3611
229	1076	3605
230	1080	3598
231	1085	3592
232	1089	3585
233	1093	3578
234	1097	3573
235	1101	3566
236	1105	3560
237	1110	3554
238	1116	3553
239	1120	3547
240	1124	3540
241	1128	3533
242	1132	3527
243	1137	3524
244	1141	3518
245	1145	3512
246	1149	3505
247	1153	3498
248	1157	3491
249	1161	3485
250	1165	3478
251	1170	3473
252	1174	3468
253	1178	3461
254	1182	3454
255	1186	3447
256	1190	3441
257	1194	3434
258	1198	3427
259	1202	3421
260	1206	3414
261	1209	3408
262	1214	3403
263	1218	3397
264	1222	3391
265	1226	3384
266	1230	3377
267	1234	3371
268	1239	3367
269	1242	3360
270	1246	3354
271	1250	3347
272	1254	3341
273	1258	3334
274	1262	3328
275	1266	3322
276	1270	3316
277	1275	3313
278	1279	3307
279	1284	3301
280	1287	3295
281	1291	3288
282	1295	3282
283	1299	3275
284	1303	3269
285	1306	3262
286	1310	3256
287	1315	3251
288	1320	3249
289	1324	3243
290	1328	3237
291	1334	3234
292	1337	3228
293	1341	3221
294	1345	3215
295	1349	3209
296	1353	3203
297	1357	3197
298	1361	3191
299	1365	3185
300	1369	3179
301	1372	3173
302	1376	3167
303	1380	3160
304	1384	3155
305	1389	3150
306	1393	3145
307	1397	3139
308	1402	3136
309	1406	3130
310	1410	3124
311	1414	3119
312	1418	3114
313	1423	3108
314	1426	3102
315	1431	3098
316	1435	3093
317	1439	3087
318	1443	3081
319	1448	3077
320	1452	3072
321	1456	3066
322	1460	3060
323	1464	3055
324	1468	3050
325	1472	3044
326	1476	3038
327	1483	3038
328	1489	3038
329	1493	3033
330	1498	3028
331	1501	3022
332	1505	3016
333	1509	3010
334	1513	3005
335	1517	2999
336	1522	2994
337	1525	2988
338	1530	2983
339	1533	2977
340	1537	2971
341	1541	2966
342	1545	2960
343	1549	2954
344	1553	2949
345	1557	2943
346	1561	2938
347	1565	2932
348	1569	2927
349	1573	2922
350	1577	2916
351	1581	2911
352	1585	2905
353	1590	2902
354	1594	2897
355	1598	2891
356	1602	2886
357	1606	2881
358	1610	2875
359	1614	2870
360	1618	2864
361	1622	2858
362	1625	2852
363	1630	2848
364	1633	2842
365	1637	2837
366	1641	2831
367	1645	2826
368	1651	2823
369	1655	2818
370	1661	2816
371	1664	2810
372	1668	2805
373	1673	2800
374	1678	2797
375	1682	2791
376	1685	2786
377	1689	2780
378	1693	2775
379	1697	2769
380	1701	2764
381	1705	2758
382	1709	2753
383	1713	2748
384	1717	2743
385	1720	2737
386	1724	2731
387	1728	2726
388	1732	2721
389	1736	2715
390	1739	2710
391	1743	2704
392	1747	2699
393	1751	2694
394	1755	2688
395	1759	2683
396	1763	2678
397	1767	2673
398	1771	2667
399	1774	2662
400	1778	2656
401	1782	2651
402	1786	2646
403	1790	2641
404	1794	2635
405	1798	2630
406	1801	2625
407	1805	2620
408	1809	2614
409	1813	2609
410	1817	2603
411	1821	2599
412	1825	2594
413	1829	2588
414	1832	2583
415	1836	2578
416	1840	2573
417	1844	2568
418	1848	2563
419	1852	2558
420	1856	2553
421	1860	2547
422	1863	2542
423	1867	2537
424	1871	2532
425	1875	2526
426	1879	2521
427	1883	2516
428	1887	2511
429	1891	2506
430	1894	2501
431	1899	2496
432	1902	2491
433	1907	2487
434	1910	2482
435	1914	2477
436	1918	2472
437	1922	2466
438	1926	2462
439	1930	2457
440	1934	2452
441	1938	2447
442	1942	2442
443	1946	2437
444	1950	2432
445	1954	2427
446	1958	2422
447	1961	2417
448	1965	2411
449	1969	2406
450	1973	2402
451	1977	2397
452	1981	2392
453	1984	2387
454	1988	2382
455	1992	2377
456	1996	2371
457	2000	2366
458	2003	2361
459	2008	2357
460	2012	2353
461	2016	2348
462	2020	2343
463	2024	2338
464	2028	2333
465	2032	2329
466	2036	2324
467	2039	2318
468	2043	2314
